"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 00:00","2015","04","01","00:00","0.1","","-12.4","","38","","","","1","","7","","","","100.69","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 01:00","2015","04","01","01:00","-0.3","","-12.8","","38","","","","36","","7","","","","100.73","","","","-3","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 02:00","2015","04","01","02:00","-0.1","","-13.0","","37","","","","1","","6","","","","100.77","","","","-2","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 03:00","2015","04","01","03:00","-0.4","","-12.1","","41","","","","1","","7","","","","100.81","","","","-3","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 04:00","2015","04","01","04:00","-1.3","","-11.1","","47","","","","2","","5","","","","100.89","","","","-3","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 05:00","2015","04","01","05:00","-1.5","","-10.1","","52","","","","3","","7","","","","100.98","","","","-4","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 06:00","2015","04","01","06:00","-1.7","","-10.0","","53","","","","3","","7","","","","101.09","","","","-4","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 07:00","2015","04","01","07:00","-0.9","","-10.4","","49","","","","3","","5","","","","101.21","","","","-3","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 08:00","2015","04","01","08:00","0.6","","-11.9","","39","","","","5","","5","","","","101.30","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 09:00","2015","04","01","09:00","1.3","","-11.8","","37","","","","11","","6","","","","101.32","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 10:00","2015","04","01","10:00","1.4","","-10.7","","40","","","","13","","7","","","","101.40","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 11:00","2015","04","01","11:00","2.3","","-8.2","","46","","","","16","","8","","","","101.39","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 12:00","2015","04","01","12:00","3.0","","-5.9","","52","","","","17","","9","","","","101.41","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 13:00","2015","04","01","13:00","2.6","","-5.5","","55","","","","19","","8","","","","101.40","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 14:00","2015","04","01","14:00","3.1","","-6.6","","49","","","","20","","6","","","","101.41","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 15:00","2015","04","01","15:00","3.5","","-12.2","","31","","","","17","","7","","","","101.37","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 16:00","2015","04","01","16:00","4.7","","-9.9","","34","","","","17","","6","","","","101.30","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 17:00","2015","04","01","17:00","3.0","","-8.0","","44","","","","13","","6","","","","101.27","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-04-01 18:00","2015","04","01","18:00","2.1","","-5.6","","57","","","","13","","6","","","","101.21","","","","","","NA"
