"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 00:00","2015","05","01","00:00","13.4","","4.3","","54","","0.0","","3","","5","","","","100.59","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 01:00","2015","05","01","01:00","12.2","","4.2","","58","","0.0","","3","","4","","","","100.59","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 02:00","2015","05","01","02:00","10.0","","5.1","","72","","0.0","","8","","2","","","","100.55","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 03:00","2015","05","01","03:00","9.8","","4.8","","71","","0.0","","2","","3","","","","100.59","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 04:00","2015","05","01","04:00","10.9","","4.9","","66","","0.0","","1","","7","","","","100.63","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 05:00","2015","05","01","05:00","10.3","","5.2","","71","","0.0","","1","","11","","","","100.69","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 06:00","2015","05","01","06:00","10.6","","5.5","","71","","0.0","","2","","6","","","","100.74","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 07:00","2015","05","01","07:00","12.3","","6.0","","65","","0.0","","3","","9","","","","100.81","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 08:00","2015","05","01","08:00","13.2","","5.5","","59","","0.0","","2","","7","","","","100.83","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 09:00","2015","05","01","09:00","14.7","","5.4","","53","","0.0","","36","","11","","","","100.86","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 10:00","2015","05","01","10:00","17.1","","5.8","","47","","0.0","","6","","6","","","","100.83","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 11:00","2015","05","01","11:00","19.3","","4.6","","38","","0.0","","2","","9","","","","100.80","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 12:00","2015","05","01","12:00","12.5","","5.3","","62","","0.0","","17","","10","","","","100.78","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 13:00","2015","05","01","13:00","12.5","","5.5","","62","","0.0","","20","","6","","","","100.78","","","","","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-05-01 14:00","2015","05","01","14:00","12.2","","5.1","","62","","0.0","","25","","5","","","","100.77","","","","","","NA"
