"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 00:00","2015","03","01","00:00","-9.6","","-15.2","","64","","","","25","","3","","","","102.86","","","","-11","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 01:00","2015","03","01","01:00","-9.8","","-14.8","","67","","","","4","","3","","","","102.70","","","","-12","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 02:00","2015","03","01","02:00","-9.1","","-14.0","","68","","","","3","","3","","","","102.69","","","","-11","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 03:00","2015","03","01","03:00","-8.8","","-13.5","","69","","","","5","","3","","","","102.62","","","","-10","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 04:00","2015","03","01","04:00","-8.4","","-12.5","","72","","","","2","","3","","","","102.49","","","","-10","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 05:00","2015","03","01","05:00","-8.3","","-12.7","","71","","","","1","","4","","","","102.44","","","","-10","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 06:00","2015","03","01","06:00","-7.9","","-11.9","","73","","","","4","","3","","","","102.36","","","","-9","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 07:00","2015","03","01","07:00","-6.3","","-11.2","","68","","","","15","","2","","","","102.27","","","","-7","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 08:00","2015","03","01","08:00","-6.2","","-10.2","","74","","","","23","","8","","","","102.25","","","","-10","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 09:00","2015","03","01","09:00","-6.8","","-10.4","","75","","","","28","","5","","","","102.18","","","","-9","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 10:00","2015","03","01","10:00","-5.9","","-10.0","","73","","","","22","","3","","","","102.12","","","","-7","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 11:00","2015","03","01","11:00","-5.5","","-9.5","","73","","","","22","","5","","","","102.04","","","","-8","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 12:00","2015","03","01","12:00","-4.9","","-8.6","","75","","","","21","","5","","","","101.92","","","","-7","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 13:00","2015","03","01","13:00","-4.7","","-8.1","","78","","","","23","","5","","","","101.82","","","","-7","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 14:00","2015","03","01","14:00","-5.0","","-8.0","","79","","","","20","","6","","","","101.69","","","","-8","","NA"
"-79.35","43.64","PA ROYAL CANADIAN YACHT CLUB","6156171","2015-03-01 15:00","2015","03","01","15:00","-5.0","","-7.9","","80","","","","20","","5","","","","101.61","","","","-7","","NA"
